	acadonto	acm.rkbexplorer	agrinepaldata	aims	alaska	apertium	arrayexpress	athelia	bfs.270a	biblioteca-nacional	brown	dblp	dbpedia	geonames	linkedgeodata	swdf	vivosearch	wiktionary	wordnet	yago	 
acadonto	1,0	0,02	0,11	0,05	0,00	0,03	0,02	0,06	0,01	0,02	0,02	0,02	0,00	0,02	0,00	0,01	0,01	0,02	0,01	0,00	 
acm.rkbexplorer	0,02	1,0	0,08	0,22	0,01	0,11	0,01	0,29	0,30	0,07	0,20	0,05	0,00	0,02	0,00	0,02	0,01	0,04	0,02	0,00	 
agrinepaldata	0,11	0,08	1,0	0,11	0,01	0,16	0,05	0,20	0,05	0,06	0,07	0,04	0,00	0,03	0,00	0,02	0,03	0,05	0,02	0,00	 
aims	0,05	0,22	0,11	1,0	0,02	0,07	0,08	0,36	0,27	0,08	0,12	0,08	0,00	0,04	0,00	0,06	0,06	0,03	0,03	0,00	 
alaska	0,00	0,01	0,01	0,02	1,0	0,01	0,00	0,02	0,01	0,01	0,01	0,01	0,00	0,00	0,00	0,01	0,02	0,01	0,01	0,00	 
apertium	0,03	0,11	0,16	0,07	0,01	1,0	0,02	0,05	0,06	0,06	0,07	0,08	0,00	0,05	0,00	0,02	0,02	0,10	0,04	0,00	 
arrayexpress	0,02	0,01	0,05	0,08	0,00	0,02	1,0	0,06	0,01	0,01	0,02	0,01	0,00	0,01	0,00	0,02	0,04	0,01	0,01	0,00	 
athelia	0,06	0,29	0,20	0,36	0,02	0,05	0,06	1,0	0,29	0,06	0,20	0,06	0,00	0,03	0,00	0,04	0,05	0,03	0,02	0,00	 
bfs.270a	0,01	0,30	0,05	0,27	0,01	0,06	0,01	0,29	1,0	0,06	0,15	0,03	0,00	0,01	0,00	0,02	0,02	0,02	0,02	0,00	 
biblioteca-nacional	0,02	0,07	0,06	0,08	0,01	0,06	0,01	0,06	0,06	1,0	0,08	0,05	0,00	0,02	0,00	0,03	0,01	0,04	0,02	0,00	 
brown	0,02	0,20	0,07	0,12	0,01	0,07	0,02	0,20	0,15	0,08	1,0	0,09	0,00	0,02	0,00	0,03	0,02	0,03	0,02	0,00	 
dblp	0,02	0,05	0,04	0,08	0,01	0,08	0,01	0,06	0,03	0,05	0,09	1,0	0,00	0,05	0,00	0,07	0,01	0,06	0,03	0,00	 
dbpedia	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,0	0,00	0,00	0,01	0,00	0,00	0,00	0,00	 
geonames	0,02	0,02	0,03	0,04	0,00	0,05	0,01	0,03	0,01	0,02	0,02	0,05	0,00	1,0	0,00	0,02	0,01	0,04	0,01	0,00	 
linkedgeodata	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,0	0,00	0,00	0,00	0,00	0,00	 
swdf	0,01	0,02	0,02	0,06	0,01	0,02	0,02	0,04	0,02	0,03	0,03	0,07	0,01	0,02	0,00	1,0	0,03	0,01	0,01	0,00	 
vivosearch	0,01	0,01	0,03	0,06	0,02	0,02	0,04	0,05	0,02	0,01	0,02	0,01	0,00	0,01	0,00	0,03	1,0	0,01	0,01	0,00	 
wiktionary	0,02	0,04	0,05	0,03	0,01	0,10	0,01	0,03	0,02	0,04	0,03	0,06	0,00	0,04	0,00	0,01	0,01	1,0	0,03	0,00	 
wordnet	0,01	0,02	0,02	0,03	0,01	0,04	0,01	0,02	0,02	0,02	0,02	0,03	0,00	0,01	0,00	0,01	0,01	0,03	1,0	0,00	 
yago	0,02	0,06	0,09	0,13	0,16	0,20	0,01	0,02	0,02	0,03	0,03	0,02	0,03	0,04	0,04	0,05	0,06	0,07	0,08	1,00
