#---Properties and values from: http://dbpedia.org/resource/Leipzig
Property	Value
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Johann_Joachim_Schwabe
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/2006_FIFA_World_Cup_Group_G
http://dbpedia.org/property/ground	http://dbpedia.org/resource/SC_DHfK_Leipzig
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Karl_Wilhelm_Dindorf
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Karl_Wilhelm_Dindorf
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Sethus_Calvisius
http://dbpedia.org/ontology/city	http://dbpedia.org/resource/Leutzsch
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Heinrich_August_Meissner
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Kaspar_von_Barth
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Arwed_Roßbach
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Hans_Krell
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Iraj_Eskandari
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Peter_Gilmore
http://dbpedia.org/ontology/city	http://dbpedia.org/resource/Leipzig_International_School
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Anton_Westermann
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Anton_Westermann
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Otto_Wiener_(physicist)
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Philipp_Lothar_Mayring
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Carl_Reinecke
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Julius_Victor_Carus
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Julius_Victor_Carus
http://dbpedia.org/ontology/city	http://dbpedia.org/resource/1922_German_football_championship
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/1922_German_football_championship
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Eduard_Sievers
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Carl_von_Noorden
http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Angela_D._Friederici
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Antoine_Guillaume_Delmas
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Gunther_Baumann
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Johann_Georg_Rosenmüller
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Yvonne_Georgi
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Sigmund_Neumann
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/David_Elias_Heidenreich
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Karl_Liebknecht
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Ernst_Gotthelf_Gersdorf
http://dbpedia.org/ontology/assembly	http://dbpedia.org/resource/BMW_1_Series__BMW_1-Series_E87__1
http://dbpedia.org/ontology/garrison	http://dbpedia.org/resource/13th_Panzergrenadier_Division_(Bundeswehr)
http://dbpedia.org/property/location	http://dbpedia.org/resource/1990–91_Dynamo_Dresden_season
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/UEFA_Euro_1984_qualifying_Group_1
http://dbpedia.org/property/location	http://dbpedia.org/resource/2013–14_SSV_Jahn_Regensburg_season
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Rudolf_Swiderski
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Rudolf_Swiderski
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Walter_Melzer
http://dbpedia.org/property/birthPlace	http://dbpedia.org/resource/Walter_Melzer
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Heinrich_Riso
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Carl_Adam_Petri
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Kerstin_Gerschau
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Jakob_Thomasius
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Jakob_Thomasius
http://dbpedia.org/ontology/garrison	http://dbpedia.org/resource/24th_Division_(German_Empire)
http://dbpedia.org/property/location	http://dbpedia.org/resource/2015–16_Eintracht_Braunschweig_season
http://dbpedia.org/ontology/city	http://dbpedia.org/resource/2007_DFL-Ligapokal_Final
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/2007_DFL-Ligapokal_Final
http://dbpedia.org/ontology/nearestCity	http://dbpedia.org/resource/Kulkwitzer_See
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Melchior_Hoffmann_(composer)
http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Melchior_Hoffmann_(composer)
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Franz_Büchner
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Rudolf_Rennecke
http://dbpedia.org/property/birthPlace	http://dbpedia.org/resource/Rudolf_Rennecke
http://dbpedia.org/ontology/location	http://dbpedia.org/resource/Leipzig_City_Tunnel
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Marvin_Kirchhöfer
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Elias_Gottlob_Haussmann
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/1961–62_Inter-Cities_Fairs_Cup
http://dbpedia.org/property/location	http://dbpedia.org/resource/1997–98_DFB-Pokal
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Leonardo_Bittencourt
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Heinrich_Bruns
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Leonore_Krenzlin
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Georg_Jellinek
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Kurt_Heinig
http://dbpedia.org/ontology/city	http://dbpedia.org/resource/HHL_Leipzig_Graduate_School_of_Management
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Anton_Wilhelm_Plaz
