acadonto	acadonto.nt.gz.hdt
acm.rkbexplorer	acm.rkbexplorer.com_id_.nt.gz.hdt
agrinepaldata	agrinepaldata.com_.nt.gz.hdt
aims	aims.fao.org_aos_jita_.nt.gz.hdt
alaska	alaska.eagle-i.net_i_.nt.gz.hdt
apertium	apertium-rdf-ca-it.nt.gz.hdt
arrayexpress	arrayexpress-e-afmx-1.nt.gz.hdt
athelia	athelia.com.nt.gz.hdt
vivosearch	beta.vivosearch.org_institution_ponce-school-medicine.nt.gz.hdt
bfs.270a	bfs.270a.info_dataset_.nt.gz.hdt
biblioteca-nacional	biblioteca-nacional-escolar-bnescolar.nt.gz.hdt
brown	brown-corpus-in-rdf-nif.nt.gz.hdt
dblp	dblp-20170124.hdt
dbpedia	DBPedia-3.9-en.hdt
geonames	geonames-11-11-2012.hdt
linkedgeodata	linkedgeodata-2012-09-10.hdt
swdf	swdf-2012-11-28.hdt
wiktionary	wiktionary_en_2012-07-21.hdt
wordnet	wordnet31.hdt
yago	yago2s-2013-05-08.hdt
