"EntityType"	"totalSameAs"
"http://www.w3.org/2002/07/owl#Thing"	19287268
"http://dbpedia.org/class/yago/PhysicalEntity100001930"	17430708
"http://dbpedia.org/class/yago/Object100002684"	16823397
"http://dbpedia.org/class/yago/YagoLegalActorGeo"	13756707
"http://dbpedia.org/class/yago/Whole100003553"	11906087
"http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity"	10410818
"http://dbpedia.org/class/yago/YagoLegalActor"	8929554
"http://dbpedia.org/class/yago/LivingThing100004258"	8079284
"http://dbpedia.org/class/yago/Organism100004475"	8077407
"http://dbpedia.org/ontology/Person"	8048584
"http://dbpedia.org/class/yago/CausalAgent100007347"	7235082
"http://dbpedia.org/class/yago/Person100007846"	7155475
"http://dbpedia.org/class/yago/YagoGeoEntity"	6671892
"http://dbpedia.org/ontology/Agent"	6661774
"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent"	6574213
"http://www.wikidata.org/entity/Q24229398"	6574213
"http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing"	6411810
"http://dbpedia.org/class/yago/Abstraction100002137"	6164134
"http://dbpedia.org/ontology/Place"	5844947
"http://schema.org/Place"	5632509
"http://dbpedia.org/ontology/Location"	5632509
"http://www.wikidata.org/entity/Q215627"	5126817
"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson"	5126817
"http://xmlns.com/foaf/0.1/Person"	5126817
"http://schema.org/Person"	5126817
"http://www.wikidata.org/entity/Q5"	5126817
"http://dbpedia.org/class/yago/Location100027167"	4850766
"http://dbpedia.org/class/yago/Region108630985"	4689620
"http://dbpedia.org/ontology/Settlement"	4278431
"http://www.w3.org/2004/02/skos/core#Concept"	4039438
"http://dbpedia.org/ontology/PopulatedPlace"	4024094
"http://dbpedia.org/class/yago/District108552138"	3946666
"http://dbpedia.org/class/yago/WikicatLivingPeople"	3791305
"http://dbpedia.org/class/yago/AdministrativeDistrict108491826"	3765851
"http://dbpedia.org/class/yago/Artifact100021939"	3761660
"http://www.wikidata.org/entity/Q486972"	3720539
"http://dbpedia.org/class/yago/GeographicalArea108574314"	3417630
"http://dbpedia.org/class/yago/PsychologicalFeature100023100"	2452752
"http://dbpedia.org/ontology/Work"	2417486
"http://schema.org/CreativeWork"	2356667
"http://www.wikidata.org/entity/Q386724"	2356667
"http://dbpedia.org/class/yago/Group100031264"	2323563
"http://dbpedia.org/class/yago/Tract108673395"	2061986
"http://dbpedia.org/ontology/Athlete"	2024475
"http://dbpedia.org/class/yago/SocialGroup107950920"	2010415
"http://dbpedia.org/class/yago/Event100029378"	1993894
"http://dbpedia.org/class/yago/Contestant109613191"	1920907
"http://dbpedia.org/class/yago/Site108651247"	1899898
"http://dbpedia.org/class/yago/Organization108008335"	1788086
"http://dbpedia.org/ontology/Organisation"	1765877
"http://dbpedia.org/class/yago/Athlete109820263"	1581125
"http://dbpedia.org/ontology/Species"	1571160
"http://dbpedia.org/ontology/Eukaryote"	1560497
"http://dbpedia.org/class/yago/Leader109623038"	1541340
"http://www.wikidata.org/entity/Q19088"	1538082
"http://dbpedia.org/class/yago/Instrumentality103575240"	1480217
"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson"	1447396
"http://www.wikidata.org/entity/Q43229"	1447396
"http://schema.org/Organization"	1447396
"http://dbpedia.org/class/yago/Player110439851"	1438803
"http://dbpedia.org/class/yago/UrbanArea108675967"	1436937
"http://dbpedia.org/class/yago/Municipality108626283"	1436303
"http://dbpedia.org/class/yago/Creator109614315"	1419412
"http://dbpedia.org/ontology/Village"	1365389
"http://dbpedia.org/class/yago/Communicator109610660"	1282672
"http://dbpedia.org/class/yago/Intellectual109621545"	1234020
"http://dbpedia.org/ontology/Animal"	1201291
"http://dbpedia.org/class/yago/Scholar110557854"	1194967
"http://www.wikidata.org/entity/Q729"	1189214
"http://dbpedia.org/class/yago/Artist109812338"	1130230
"http://dbpedia.org/class/yago/Worker109632518"	1117854
"http://dbpedia.org/class/yago/SocialEvent107288639"	1050476
"http://dbpedia.org/class/yago/Adult109605289"	1045268
"http://dbpedia.org/class/yago/Communication100033020"	1035377
"http://dbpedia.org/class/yago/Entertainer109616922"	989559
"http://dbpedia.org/ontology/ArchitecturalStructure"	982251
"http://dbpedia.org/class/yago/Alumnus109786338"	978029
"http://dbpedia.org/class/yago/Performer110415638"	977985
"http://dbpedia.org/ontology/MusicalWork"	973379
"http://dbpedia.org/class/yago/Medium106254669"	964889
"http://dbpedia.org/class/yago/SkilledWorker110605985"	959775
"http://www.wikidata.org/entity/Q2188189"	951444
"http://www.wikidata.org/entity/Q532"	947647
"http://dbpedia.org/class/yago/Act100030358"	922284
"http://dbpedia.org/class/yago/Writer110794014"	904990
"http://dbpedia.org/class/yago/FootballPlayer110101634"	872110
"http://dbpedia.org/class/yago/Creation103129123"	864776
"http://dbpedia.org/class/yago/Village108672738"	831773
"http://dbpedia.org/class/yago/Settlement108672562"	831773
"http://dbpedia.org/class/yago/City108524735"	827404
"http://dbpedia.org/class/yago/Product104007894"	818476
"http://dbpedia.org/ontology/SoccerPlayer"	816326
"http://dbpedia.org/class/yago/Institution108053576"	776025
"http://dbpedia.org/class/yago/Structure104341686"	775538
"http://dbpedia.org/class/yago/Animal100015388"	720692
"http://dbpedia.org/ontology/Film"	682073
"http://dbpedia.org/ontology/Album"	676976
"http://www.wikidata.org/entity/Q937857"	660489
"http://dbpedia.org/ontology/Insect"	646943
"http://dbpedia.org/class/yago/Musician110339966"	641037
"http://www.wikidata.org/entity/Q482994"	638281
"http://schema.org/MusicAlbum"	638281
"http://dbpedia.org/class/yago/Show106619065"	637731
"http://dbpedia.org/class/yago/Cognition100023271"	630032
"http://dbpedia.org/class/yago/Commune108541609"	620750
"http://dbpedia.org/class/yago/Album106591815"	608341
"http://dbpedia.org/class/yago/Facility103315023"	603744
"http://dbpedia.org/ontology/Wikidata:Q11424"	592123
