#---Properties and values from: http://sws.geonames.org/78428/
Property	Value
http://purl.org/dc/terms/modified	http://sws.geonames.org/78428/about.rdf
http://purl.org/dc/terms/created	http://sws.geonames.org/78428/about.rdf
http://creativecommons.org/ns#attributionName	http://sws.geonames.org/78428/about.rdf
http://creativecommons.org/ns#attributionURL	http://sws.geonames.org/78428/about.rdf
http://creativecommons.org/ns#license	http://sws.geonames.org/78428/about.rdf
http://xmlns.com/foaf/0.1/primaryTopic	http://sws.geonames.org/78428/about.rdf
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://sws.geonames.org/78428/about.rdf
http://www.geonames.org/ontology#population	90792
http://www.w3.org/2003/01/geo/wgs84_pos#long	43.94385
http://www.geonames.org/ontology#countryCode	YE
http://www.w3.org/2000/01/rdf-schema#seeAlso	http://dbpedia.org/resource/%27Amran
http://www.geonames.org/ontology#alternateName	‘Amrān@ar
http://www.geonames.org/ontology#wikipediaArticle	https://en.wikipedia.org/wiki/%27Amran
http://www.geonames.org/ontology#name	‘Amrān
http://www.w3.org/2003/01/geo/wgs84_pos#lat	15.6594
http://www.geonames.org/ontology#parentADM1	http://sws.geonames.org/6201194/
http://www.geonames.org/ontology#locationMap	http://www.geonames.org/78428/-amran.html
http://www.geonames.org/ontology#alternateName	‘Umrān
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.geonames.org/ontology#Feature
http://www.geonames.org/ontology#featureCode	http://www.geonames.org/ontology#P.PPLA
http://www.geonames.org/ontology#featureClass	http://www.geonames.org/ontology#P
http://www.geonames.org/ontology#parentFeature	http://sws.geonames.org/78427/
http://www.w3.org/2000/01/rdf-schema#isDefinedBy	http://sws.geonames.org/78428/about.rdf
http://www.geonames.org/ontology#nearbyFeatures	http://sws.geonames.org/78428/nearby.rdf
http://www.geonames.org/ontology#parentADM2	http://sws.geonames.org/78427/
http://www.geonames.org/ontology#parentCountry	http://sws.geonames.org/69543/
http://www.geonames.org/ontology#alternateName	عمران@ar
